countries,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Germany,28764.0,24106.0,24017.0,25246.0,25829.0,26658.0,27049.0,28132.0,26079.0,26531.0,26386.0,25922.0,25854.0,26162.0,25665.0,26430.0,26927.0,27537.0,26943.0,27640.0,27434.0,27445.0,26954.0,27102.0,27313.0,27244.0,27655.0,27823.0,27470.0,27332.0,27436.0,27755.0,28580.0,29099.0,29580.0,30584.0,31195.0,32608.0,32316.0,31816.0,
Greece,,,,,,,,,,,,,15051.0,,,,,17126.0,,19335.0,19969.0,20695.0,20556.0,20513.0,21689.0,21686.0,22239.0,19687.0,16011.0,14263.0,13100.0,13468.0,13504.0,13873.0,14155.0,14785.0,15668.0,15673.0,16907.0,,
Hungary,,,,,,,,,10825.0,,,8656.0,,,,,8144.0,,,,,,10572.0,,10742.0,,10152.0,,,10157.0,,,12671.0,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,29151.0,29950.0,31918.0,34764.0,36672.0,35579.0,31901.0,29738.0,27990.0,29576.0,30490.0,31908.0,34121.0,35940.0,38651.0,,,,,,
Ireland,,,,,11542.0,,,,,,,15315.0,15904.0,16944.0,,,,22237.0,,24561.0,25047.0,25194.0,26314.0,28280.0,27982.0,25418.0,24115.0,23794.0,22715.0,22953.0,23301.0,24689.0,25979.0,26308.0,28799.0,29123.0,30309.0,32049.0,32547.0,,
Israel,,,,12027.0,,,,,,14166.0,,,,,14351.0,,,,15954.0,14404.0,14658.0,15246.0,15668.0,16055.0,16995.0,17283.0,17122.0,17728.0,17804.0,18847.0,19982.0,20413.0,21444.0,21904.0,23121.0,23822.0,23132.0,22807.0,22927.0,,
Italy,16814.0,17421.0,,16498.0,18600.0,,20323.0,,20737.0,,19380.0,,18991.0,,,20044.0,,20416.0,,20368.0,,20612.0,,21790.0,,21471.0,,20974.0,,18863.0,,18922.0,,19500.0,,,,20166.0,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,27126.0,26794.0,27117.0,25222.0,25758.0,25383.0,25383.0,25642.0,25132.0,25333.0,25054.0,24924.0,25899.0,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,20687.0,,20986.0,,21458.0,,22784.0,,23543.0,,27132.0,27760.0,28502.0,29517.0,30411.0,31379.0,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,10799.0,10032.0,10877.0,11161.0,11538.0,12425.0,13642.0,14596.0,15555.0,16773.0,18581.0,20460.0,20058.0,,
Luxembourg,,,26706.0,29364.0,30531.0,32176.0,33070.0,34927.0,34983.0,36880.0,36888.0,35400.0,36165.0,35996.0,36666.0,36323.0,37808.0,37943.0,38637.0,40296.0,41687.0,42346.0,42317.0,42328.0,42709.0,42434.0,43225.0,42337.0,41774.0,40898.0,41098.0,41826.0,42248.0,44723.0,42146.0,43689.0,42987.0,46915.0,48735.0,48268.0,50062.0
Mexico,,4366.0,,,,,4547.0,,,4730.0,,4796.0,,3683.0,,3948.0,,4686.0,,4886.0,,5166.0,5672.0,6301.0,,6207.0,,5622.0,,5718.0,,5372.0,,6355.0,,6530.0,,6211.0,,7281.0,
Netherlands,19683.0,,,,20492.0,,,24193.0,,,22857.0,,,,,,26662.0,,,,,26424.0,26616.0,27755.0,29085.0,29204.0,29302.0,28690.0,28624.0,28257.0,27593.0,27823.0,29690.0,30664.0,30733.0,30833.0,31523.0,33919.0,34567.0,,
Norway,,,,22410.0,,,,,23197.0,,,,23043.0,,,,,27020.0,,,,29219.0,,,33650.0,,,35057.0,,,38061.0,,,37824.0,,,38912.0,38981.0,39190.0,39077.0,
Poland,,,,10325.0,,,,,,9471.0,,,7330.0,,,,9073.0,,,,,8983.0,9050.0,9855.0,10679.0,11768.0,12154.0,12542.0,12477.0,12499.0,12679.0,13240.0,13846.0,15127.0,16186.0,16988.0,17960.0,18683.0,19650.0,19430.0,19930.0
Slovakia,,,,,,,,,,9053.0,,,,8940.0,,,,,,,,9514.0,,,12459.0,,,13457.0,,,13158.0,13300.0,13501.0,14164.0,14855.0,14901.0,,,,,
Slovenia,,,,,,,,,,,,,,,16572.0,,16693.0,,,,,18490.0,,,20139.0,,,21339.0,,21126.0,,,21660.0,,,,,,,,
Spain,,,12297.0,,,,,15870.0,,,16472.0,16710.0,16476.0,16807.0,17563.0,19382.0,20646.0,21535.0,,,,20584.0,21506.0,22174.0,26041.0,26256.0,26052.0,24055.0,23169.0,22202.0,21302.0,21373.0,21978.0,23047.0,23301.0,23589.0,24923.0,25138.0,25799.0,25888.0,
Sweden,,,,,15764.0,,,,,18284.0,,,17122.0,,,,,20052.0,20972.0,21450.0,21584.0,22161.0,22571.0,23377.0,24754.0,25251.0,25636.0,26021.0,26687.0,27006.0,27510.0,28241.0,28813.0,29513.0,29526.0,29286.0,29815.0,30232.0,30720.0,,
Switzerland,,,,,,,,,,33414.0,,,,,,,,33418.0,,35530.0,,34220.0,,35799.0,36649.0,36615.0,37150.0,37477.0,38765.0,39667.0,37871.0,38492.0,38138.0,38637.0,38534.0,38123.0,38040.0,38387.0,39241.0,38276.0,
United Kingdom,14273.0,14617.0,14951.0,15673.0,16359.0,17512.0,17736.0,18332.0,18524.0,18031.0,17770.0,18417.0,18439.0,19291.0,19905.0,20643.0,21124.0,22152.0,23118.0,23443.0,23841.0,24443.0,24762.0,25134.0,25668.0,25598.0,25274.0,25189.0,24640.0,24735.0,24919.0,25540.0,25865.0,26256.0,26525.0,26554.0,27572.0,26944.0,27744.0,,
United States,28056.0,29006.0,29304.0,30319.0,31446.0,31312.0,31675.0,30679.0,30397.0,30274.0,29857.0,30252.0,30856.0,31182.0,31821.0,33145.0,33947.0,34123.0,33854.0,34001.0,34241.0,33875.0,33983.0,34152.0,34459.0,33498.0,33807.0,33400.0,32994.0,33221.0,33130.0,32723.0,33909.0,36180.0,36468.0,37929.0,40157.0,41971.0,42207.0,38378.0,
