countries,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ireland,,,,,11598.0,,,,,,,,,,,,,,,23883.0,23736.0,23460.0,23708.0,24436.0,23567.0,18947.0,16871.0,15756.0,15797.0,16342.0,17183.0,20063.0,21678.0,22241.0,26454.0,27550.0,28441.0,28203.0,30890.0,,
Israel,,,,12630.0,,,,,,14401.0,,,,,14859.0,,,,15697.0,14350.0,14200.0,14876.0,15369.0,15615.0,16778.0,16879.0,16492.0,17099.0,17156.0,18096.0,19839.0,20697.0,21535.0,21771.0,23136.0,24352.0,22763.0,20279.0,21555.0,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15542.0,,15661.0,,,,15608.0,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,27212.0,26253.0,27255.0,24907.0,25688.0,25721.0,26164.0,25958.0,25991.0,26218.0,24856.0,25708.0,26137.0,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,8822.0,7801.0,8626.0,9199.0,10110.0,10977.0,12399.0,13167.0,14266.0,14786.0,20623.0,21904.0,21540.0,,
Luxembourg,,,,,,,,,,,,,,,,,,,,36534.0,37545.0,37310.0,38623.0,38182.0,39590.0,36009.0,37093.0,36611.0,34981.0,34586.0,35398.0,36675.0,37319.0,38630.0,35555.0,41114.0,38931.0,,51272.0,47869.0,48970.0
Netherlands,21350.0,,,,22675.0,,,27257.0,,,27867.0,,,,,,31015.0,,,,,31541.0,31377.0,32471.0,37902.0,38990.0,38673.0,38155.0,38170.0,37774.0,34864.0,34582.0,35531.0,36583.0,37099.0,37409.0,38599.0,41494.0,42376.0,,
Norway,,,,26334.0,,,,,26019.0,,,,26031.0,,,,,30724.0,,,,30652.0,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,,,,9092.0,,,11834.0,,,11962.0,,,12127.0,13264.0,13314.0,13940.0,14801.0,15417.0,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,18606.0,19489.0,20269.0,24011.0,22971.0,21574.0,19984.0,18755.0,17294.0,15919.0,16255.0,16802.0,18101.0,18906.0,18842.0,20421.0,18492.0,20828.0,22074.0,
Sweden,,,,,,,,,,,,,15778.0,,,,,21390.0,22293.0,22365.0,22747.0,23129.0,23468.0,24465.0,26158.0,26637.0,26139.0,26351.0,27789.0,27582.0,27476.0,28485.0,28921.0,30309.0,30162.0,30086.0,30576.0,30701.0,31336.0,,
Switzerland,,,,,,,,,,36217.0,,,,,,,,39867.0,,41896.0,,40759.0,,43602.0,44739.0,45365.0,45476.0,45703.0,47295.0,48625.0,45778.0,46619.0,46273.0,46735.0,47415.0,47467.0,47053.0,46978.0,47924.0,47550.0,
United Kingdom,15849.0,16412.0,16698.0,17261.0,17792.0,19191.0,19785.0,19925.0,20058.0,18838.0,18565.0,18905.0,19325.0,20475.0,20919.0,21912.0,22157.0,23580.0,24231.0,24282.0,24598.0,25404.0,25314.0,25895.0,26362.0,25966.0,24745.0,24468.0,23910.0,23712.0,23858.0,24661.0,24958.0,25395.0,25597.0,26170.0,27483.0,25818.0,26324.0,,
United States,30141.0,31657.0,32227.0,33238.0,34002.0,34213.0,34819.0,33185.0,32453.0,32160.0,31398.0,32253.0,32723.0,33152.0,34362.0,35834.0,36541.0,37152.0,36446.0,35937.0,35754.0,35514.0,35871.0,36238.0,36681.0,34853.0,33277.0,32937.0,32474.0,32667.0,33175.0,33969.0,35834.0,36908.0,37521.0,38460.0,40820.0,38444.0,39802.0,38947.0,
